__time,/amcl_cov/data,/amcl_error/data,/amcl_num_particles/data
1686072674.275115,0.334802002,0.011264701,956.000000000
1686072674.717638,0.244830310,0.013325208,896.000000000
1686072675.099851,0.257485211,0.015936354,462.000000000
1686072675.512269,0.260018349,0.017636614,526.000000000
1686072675.914569,,0.018946389,
1686072675.924595,0.220466107,,526.000000000
1686072676.306835,0.226948157,0.020300392,714.000000000
1686072676.719249,0.219718814,0.022137925,775.000000000
1686072677.131460,0.251559645,0.024746187,775.000000000
1686072677.724896,0.253583580,0.026879812,526.000000000
1686072678.127225,0.278613061,0.030192906,462.000000000
1686072678.489274,0.307372689,0.033286624,462.000000000
1686072678.891690,0.348369449,0.036589071,652.000000000
1686072679.314140,,0.040100981,
1686072679.324202,0.408734173,,836.000000000
1686072679.756643,0.445846111,0.043546516,836.000000000
1686072680.128794,,0.046330936,
1686072680.138856,0.342689067,,896.000000000
1686072680.510995,0.310927808,0.049216993,836.000000000
1686072680.963578,0.324495614,0.052437082,590.000000000
1686072681.355779,0.295423031,0.055356260,462.000000000
1686072681.737905,0.273948282,0.057775348,396.000000000
1686072682.110018,0.268616676,0.060316268,396.000000000
1686072682.502281,0.296166807,0.062149130,526.000000000
1686072682.914653,0.335262477,0.064078927,396.000000000
1686072683.306940,0.230646715,0.065698989,462.000000000
1686072683.709265,0.257003397,0.067534149,396.000000000
1686072684.312642,0.388983399,0.069192782,396.000000000
1686072684.725023,,0.070766278,
1686072684.735081,0.346582443,,462.000000000
1686072685.147515,,0.072302319,
1686072685.157580,0.399589032,,590.000000000
1686072685.549834,0.315486163,0.074119762,652.000000000
1686072685.921951,0.229449242,0.075730436,328.000000000
1686072686.344414,0.280562311,0.077460714,328.000000000
1686072686.726657,0.259657681,0.079088688,328.000000000
1686072687.149055,0.346222520,0.080687262,590.000000000
1686072687.561347,0.389818341,0.082466260,714.000000000
1686072687.933520,0.357103139,0.084263518,590.000000000
1686072688.365966,0.320851415,0.086168185,526.000000000
1686072688.727957,0.344947159,0.087721504,462.000000000
1686072689.140224,0.311855346,0.089309454,396.000000000
1686072689.592706,0.343604714,0.091009058,396.000000000
1686072690.166019,0.304808706,0.092514582,526.000000000
1686072690.598541,0.301965863,0.094130769,396.000000000
1686072690.990837,0.283995867,0.095713854,462.000000000
1686072691.372988,0.314853698,0.097100027,328.000000000
1686072691.745135,,0.098256849,
1686072691.755195,0.275307864,,258.000000000
1686072692.187618,,0.099569812,
1686072692.197675,0.228669330,,526.000000000
1686072692.610005,0.272714019,0.100925587,526.000000000
1686072692.982076,,0.102165140,
1686072692.992133,0.287861913,,652.000000000
1686072693.384430,0.291748881,0.103364669,652.000000000
1686072693.796816,0.241524279,0.104597159,462.000000000
1686072694.169003,0.247588709,0.105850138,328.000000000
1686072694.752316,0.297844231,0.107108496,328.000000000
1686072695.164704,0.300775260,0.108480349,775.000000000
1686072695.546837,0.292589903,0.109872140,775.000000000
1686072695.959229,,0.111287251,
1686072695.969295,0.254191935,,775.000000000
1686072696.371670,0.278753549,0.112548098,714.000000000
1686072696.753911,0.265644670,0.113704897,714.000000000
1686072697.206478,,0.114954509,
1686072697.216536,0.288068324,,590.000000000
1686072697.618775,0.270764530,0.116155259,526.000000000
1686072698.031226,0.290724933,0.117348611,652.000000000
1686072698.403351,,0.118371181,
1686072698.413411,0.343511343,,652.000000000
1686072698.775443,,0.119358510,
1686072698.785502,0.342324585,,836.000000000
1686072699.197896,0.273421556,0.120339341,652.000000000
1686072699.590114,0.292869389,0.121380761,526.000000000
1686072699.992442,0.289775103,0.122392714,526.000000000
1686072700.394761,0.312474579,0.123219460,462.000000000
1686072700.776986,0.276803643,0.124085814,
1686072700.787045,,,775.000000000
1686072701.169231,0.309155107,0.124902129,836.000000000
1686072701.571540,0.302805483,0.125700116,836.000000000
1686072701.963850,,0.126516074,
1686072701.973912,0.317343652,,652.000000000
1686072702.416503,0.325479299,0.127356321,328.000000000
1686072702.778622,0.256389081,0.128323615,328.000000000
1686072703.190969,0.280762553,0.129310384,258.000000000
1686072703.603493,0.285590708,0.130352110,462.000000000
